carpeta	url	screenshots
088_laboratorios_de_docencia	https://fis.epn.edu.ec/index.php/es/la-facultad/laboratorios	1
089_laboratorios_de_investigacion	https://fis.epn.edu.ec/index.php/es/la-facultad/laboratorios-de-investigacion	1
090_planta_docente	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes	1
091_159_montenegro_armas_carlos_estalesmit	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/159-montenegro-armas-carlos-estalesmit	0
092_ordonez_calero_hernan_david	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/180-ordonez-calero-hernan-david	1
093_182_hallo_carrasco_maria_asuncion	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/182-hallo-carrasco-maria-asuncion	0
094_aguiar_pontes_josafa_de_jesus	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/189-aguiar-pontes-josafa-de-jesus	1
095_torres_olmedo_jenny_gabriela	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/196-torres-olmedo-jenny-gabriela	1
096_carrion_toro_mayra_del_cisne	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/198-carrion-toro-mayra-del-cisne	1
097_201_loza_aguirre_edison_fernando	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/201-loza-aguirre-edison-fernando	0
098_santorum_gaibor_marco_oswaldo	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/203-santorum-gaibor-marco-oswaldo	1
099_calle_jimenez_tania_elizabeth	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/204-calle-jimenez-tania-elizabeth	1
100_penafiel_aguilar_myriam_guadalupe	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/205-penafiel-aguilar-myriam-guadalupe	1
101_sanchez_gordon_sandra_patricia	https://fis.epn.edu.ec/index.php/es/la-facultad/planta-docentes/206-sanchez-gordon-sandra-patricia	1
